"NUMEROPT","CARACTERISTICA"
"1/2020","Pressurizado"
"16/2020","Pressurizado"
"24/2020","Pressurizado"
"27/2020","Risco de Perda de Produção"
"37/2020","Pressurizado"
"38/2020","Pressurizado"
"69/2020","Altura - Acesso por Cordas"
"116/2020","Chama Aberta"
"121/2020","Sobre o Mar"
"131/2020","Altura - Acesso por Cordas"
"137/2020","Altura - Acesso por Cordas"
"167/2020","Altura - Acesso por Cordas"
"177/2020","Pressurizado"
"177/2020","Andaime - Pós-Montagem/Utilização"
"180/2020","Chama Aberta"
"188/2020","Andaime - Pré-Montagem/Desmontagem"
"200/2020","Elétrico"
"201/2020","Altura - Acesso por Cordas"
"210/2020","Andaime - Pós-Montagem/Utilização"
"218/2020","Uso de Marreta"
"227/2020","Tratamento Mecânico e Pintura"
"234/2020","Andaime - Pós-Montagem/Utilização"
"255/2020","Andaime - Pós-Montagem/Utilização"
"265/2020","Elétrico"
"270/2020","Andaime - Pós-Montagem/Utilização"
"298/2020","Chama Aberta"
"304/2020","Pressurizado"
"324/2020","Andaime - Pré-Montagem/Desmontagem"
"325/2020","Pressurizado"
"327/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"335/2020","Pressurizado"
"337/2020","Andaime - Pré-Montagem/Desmontagem"
"342/2020","Andaime - Pré-Montagem/Desmontagem"
"350/2020","Pressurizado"
"358/2020","Pressurizado"
"369/2020","Pressurizado"
"374/2020","Andaime - Pré-Montagem/Desmontagem"
"388/2020","Espaço Confinado"
"398/2020","Pressurizado"
"422/2020","Elétrico"
"423/2020","Pressurizado"
"427/2020","Andaime - Pré-Montagem/Desmontagem"
"435/2020","Pressurizado"
"436/2020","Elétrico"
"444/2020","Pressurizado"
"460/2020","Chama Aberta"
"460/2020","Altura - Acesso por Cordas"
"486/2020","Uso de Marreta"
"487/2020","Tratamento Mecânico e Pintura"
"495/2020","Altura - Acesso por Cordas"
"496/2020","Altura - Acesso por Cordas"
"503/2020","Andaime - Pós-Montagem/Utilização"
"507/2020","Uso de Marreta"
"508/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
